Code	FOOD ITEM	REFERENCE PORTION	Reference ESHA	 Quantity 	Measure	 Gram Weight (g) 	 Calories (Kcal) 	 Calories from Fat (Kcal) 	 Calories from SatFat(Kcal) 	 Protein (g) 	 Carbohydrates (g) 	 Total Dietary Fiber (g) 	 Total Soluble Fiber (g) 	 Dietary Fiber (2016) (g) 	 Soluble Fiber (2016)(g) 	 Total Sugars(g) 	 Added Sugar(g) 	 Monosaccharides(g) 	 Disaccharides(g) 	 Other Carbs(g) 	 Fat(g) 	 Saturated Fat(g) 	 Mono Fat(g) 	 Poly Fat(g) 	 Trans Fatty Acid(g) 	 Cholesterol(mg) 	 Water(g) 	 Vitamin A - IU 	 Vitamin A - RAE (mcg) 	 Carotenoid RE (mcg) 	 Retinol RE (mcg) 	 Beta-Carotene(mcg) 	 Vitamin B1 - Thiamin(mg) 	 Vitamin B2 - Riboflavin(mg) 	 Vitamin B3 - Niacin (mg) 	 Vitamin B3 - Niacin Equiv (mg) 	 Vitamin B6 (mg) 	 Vitamin B12(mcg) 	 Biotin(mcg) 	 Vitamin C(mcg) 	 Vitamin D - IU 	 Vitamin D - mcg 	 Vitamin E - Alpha-Toco (mg) 	 Folate(mcg) 	 Folate, DFE (mcg) 	 Vitamin K(mcg) 	 Pantothenic Acid (mg) 	 Calcium(mg) 	 Chromium(mcg) 	 Copper(mg) 	 Fluoride(mg) 	 Iodine(mcg) 	 Iron(mg) 	 Magnesium(mg) 	 Manganese(mg) 	 Molybdenum(mcg) 	 Phosphorus(mg) 	 Potassium(mg) 	 Selenium(mcg) 	 Sodium(mg) 	 Zinc(mg) 	 Omega 3 Fatty Acid(g) 	 Omega 6 Fatty Acid(g) 	 Alcohol(g) 	 Caffeine(mg) 	 Choline(mg) 
1.7.1	Pasta/Noodles (Instant)	Side A	Average	 100 	Gram	 100.00 	 156.74 	 12.39 	 1.29 	 5.85 	 30.44 	 1.36 	 0.19 	 1.06 	 0.19 	 0.33 	 -   	 0.02 	 0.11 	 23.85 	 1.38 	 0.15 	 0.17 	 0.22 	 -   	 20.18 	 44.75 	 1.11 	 1.67 	 -   	 1.67 	 0.22 	 0.15 	 0.07 	 0.97 	 1.53 	 0.03 	 0.03 	 -   	 -   	 0.89 	 0.02 	 0.05 	 39.39 	 64.03 	 -   	 0.07 	 9.19 	 0.05 	 0.05 	 -   	 6.42 	 0.75 	 11.17 	 0.15 	 -   	 37.45 	 49.20 	 11.16 	 95.86 	 0.31 	 0.01 	 0.21 	 -   	 -   	 5.67 
1.8	Breakfast cereals (Bran flakes)/ Oats	Side A	Average	 100 	#DIV/0!	 100.00 	 341.96 	 66.20 	 13.81 	 9.86 	 63.87 	 9.36 	 0.83 	 5.53 	 0.83 	 9.84 	 5.02 	 -   	 -   	 39.01 	 7.36 	 1.53 	 2.65 	 2.27 	 -   	 0.14 	 15.30 	 1.83 	 112.57 	 -   	 110.86 	 17.43 	 0.98 	 0.91 	 11.11 	 11.11 	 1.10 	 3.01 	 -   	 31.20 	 20.00 	 0.50 	 7.07 	 215.29 	 352.19 	 2.83 	 -   	 44.71 	 -   	 0.17 	 -   	 -   	 11.48 	 89.43 	 -   	 -   	 297.71 	 373.54 	 7.86 	 138.68 	 8.79 	 0.15 	 1.06 	 -   	 -   	 15.29 
1.9	Breakfast cereals ( sugary)	Side A	Average	 100 	#DIV/0!	 100.00 	 366.50 	 32.09 	 7.27 	 9.80 	 78.67 	 6.35 	 3.01 	 1.65 	 -   	 6.93 	 -   	 0.05 	 2.14 	 65.39 	 3.57 	 0.81 	 1.23 	 1.32 	 0.01 	 -   	 4.45 	 2,542.50 	 740.00 	 9.00 	 735.50 	 41.50 	 1.34 	 0.81 	 19.44 	 21.20 	 2.09 	 5.89 	 -   	 21.30 	 139.50 	 3.50 	 0.39 	 535.50 	 892.00 	 0.90 	 0.65 	 203.00 	 -   	 0.29 	 -   	 -   	 31.04 	 76.50 	 1.86 	 -   	 291.50 	 404.50 	 16.60 	 613.00 	 8.87 	 0.04 	 1.27 	 -   	 -   	 17.45 
1.10	Fatayer (zaatar, cheese, spinach, meat)-baked	1 small or side B	Average	 100 	#DIV/0!	 100.00 	 269.39 	 91.46 	 10.19 	 11.09 	 33.47 	 1.37 	 -   	 0.16 	 -   	 0.97 	 0.04 	 0.00 	 -   	 0.74 	 10.18 	 1.13 	 1.38 	 0.48 	 -   	 16.01 	 24.64 	 9.67 	 0.99 	 0.76 	 0.61 	 4.48 	 0.01 	 0.02 	 0.94 	 1.44 	 0.05 	 0.16 	 0.04 	 0.53 	 0.95 	 0.02 	 0.18 	 1.19 	 0.91 	 0.73 	 0.09 	 273.42 	 0.19 	 0.75 	 -   	 1.03 	 2.62 	 32.22 	 0.69 	 0.27 	 23.15 	 299.58 	 3.22 	 531.49 	 2.39 	 0.02 	 0.16 	 -   	 -   	 12.18 
1.11	Sambosek, samosa, spring roll, cheese roll-fried 	1 small	Average	 100 	#DIV/0!	 100.00 	 211.49 	 93.95 	 18.54 	 8.61 	 21.32 	 1.72 	 -   	 0.48 	 -   	 2.82 	 1.07 	 -   	 -   	 11.53 	 10.45 	 2.06 	 3.64 	 3.54 	 -   	 24.61 	 48.78 	 0.86 	 51.37 	 -   	 10.00 	 415.88 	 0.13 	 0.12 	 2.54 	 2.79 	 0.14 	 0.11 	 -   	 3.92 	 1.20 	 0.03 	 1.01 	 43.79 	 50.33 	 19.99 	 0.04 	 46.31 	 0.02 	 0.08 	 -   	 0.08 	 1.39 	 18.68 	 0.00 	 -   	 83.93 	 182.27 	 9.58 	 456.40 	 0.54 	 0.40 	 3.12 	 -   	 -   	 26.16 
1.12	Pizza (restaurants, homemade)	Side A or B/ 1 small piece	Average	 100 	Gram	 100.00 	 263.29 	 95.24 	 39.36 	 11.73 	 29.98 	 1.85 	 -   	 -   	 -   	 3.24 	 0.41 	 0.34 	 0.19 	 21.22 	 10.58 	 4.37 	 1.75 	 1.02 	 0.01 	 23.18 	 27.41 	 78.36 	 37.04 	 1.33 	 32.78 	 42.22 	 0.20 	 0.15 	 1.89 	 2.10 	 0.07 	 0.32 	 -   	 1.79 	 0.89 	 0.02 	 0.49 	 44.85 	 62.86 	 3.59 	 0.03 	 132.12 	 -   	 0.07 	 -   	 -   	 1.57 	 13.85 	 0.04 	 -   	 120.89 	 102.93 	 13.33 	 622.48 	 0.78 	 0.11 	 0.88 	 -   	 -   	 8.97 
1.12.1	Pizza (Frozen, ready to eat)	Side A or B/ 1 small piece	Average	 100 	Gram	 100.00 	 263.29 	 95.24 	 39.36 	 11.73 	 29.98 	 1.85 	 -   	 -   	 -   	 3.24 	 0.41 	 0.34 	 0.19 	 21.22 	 10.58 	 4.37 	 1.75 	 1.02 	 0.01 	 23.18 	 27.41 	 78.36 	 37.04 	 1.33 	 32.78 	 42.22 	 0.20 	 0.15 	 1.89 	 2.10 	 0.07 	 0.32 	 -   	 1.79 	 0.89 	 0.02 	 0.49 	 44.85 	 62.86 	 3.59 	 0.03 	 132.12 	 -   	 0.07 	 -   	 -   	 1.57 	 13.85 	 0.04 	 -   	 120.89 	 102.93 	 13.33 	 622.48 	 0.78 	 0.11 	 0.88 	 -   	 -   	 8.97 
2	Vegetables																																																																	
2.1	Vegetables, canned (mixed)	Side A	Average	 100 	Gram	 100.00 	 48.00 	 6.10 	 0.98 	 2.29 	 8.75 	 2.63 	 0.36 	 2.63 	 0.36 	 2.98 	 -   	 0.20 	 1.58 	 3.15 	 0.68 	 0.11 	 0.13 	 0.32 	 -   	 -   	 87.28 	 3,008.75 	 150.44 	 300.88 	 -   	 1,461.25 	 0.06 	 0.03 	 0.98 	 1.29 	 0.06 	 -   	 0.10 	 2.15 	 2.00 	 0.05 	 0.28 	 20.25 	 20.25 	 11.65 	 0.30 	 15.25 	 -   	 0.12 	 -   	 -   	 0.71 	 13.00 	 0.20 	 -   	 49.50 	 132.50 	 1.55 	 275.75 	 0.48 	 0.03 	 0.29 	 -   	 -   	 14.23 
2.2	Vegetables, raw, cooked, frozen	Side A	Average	 100 	Gram	 100.00 	 40.24 	 11.60 	 2.31 	 1.51 	 6.99 	 2.26 	 0.12 	 2.16 	 1.97 	 2.99 	 -   	 0.73 	 0.24 	 1.74 	 1.29 	 0.26 	 0.62 	 0.28 	 -   	 0.29 	 85.25 	 957.75 	 98.42 	 95.78 	 1.57 	 976.48 	 0.06 	 0.07 	 0.75 	 0.87 	 0.13 	 0.00 	 1.65 	 24.61 	 0.33 	 0.01 	 0.46 	 30.43 	 30.43 	 32.11 	 0.20 	 27.00 	 0.06 	 0.07 	 0.00 	 0.22 	 0.50 	 16.57 	 0.06 	 1.50 	 37.14 	 248.48 	 0.86 	 58.57 	 0.28 	 0.03 	 0.24 	 -   	 -   	 11.64 
2.3	Salad, green 	Side A	Average	 100 	Gram	 100.00 	 32.08 	 6.26 	 2.32 	 2.36 	 5.60 	 3.55 	 0.13 	 2.84 	 0.13 	 0.97 	 -   	 0.37 	 0.01 	 0.62 	 0.70 	 0.35 	 0.25 	 0.18 	 -   	 -   	 90.13 	 5,343.27 	 297.80 	 534.33 	 -   	 2,902.64 	 0.07 	 0.13 	 0.79 	 1.09 	 0.12 	 -   	 0.58 	 39.98 	 -   	 -   	 0.66 	 104.55 	 104.55 	 318.11 	 0.20 	 106.45 	 0.36 	 0.25 	 -   	 0.98 	 2.51 	 38.91 	 0.46 	 3.00 	 49.36 	 417.55 	 0.41 	 32.22 	 0.53 	 0.11 	 0.07 	 -   	 -   	 8.29 
3	Potatoes and products																																						 -   													 -   				 -   										
