Code	FOOD ITEM	REFERENCE PORTION	Portion in grams
		A15 (Rice Muhammar/ Baranyoosh)	340.20
		A16 (Rice Muhammar/ Baranyoosh)	127.58
9.6	Saloona/ Stews	Side A (Saloona/Stews, Density= 1.0 )	
		A2 (Saloona/ Stews)	4.73
		A3 (Saloona/ Stews)	10.18
		A4 (Saloona/ Stews)	15.18
		A5 (Saloona/ Stews)	85.05
		A6 (Saloona/ Stews)	99.23
		A7 (Saloona/ Stews)	255.15
		A8 (Saloona/ Stews)	42.53
		A9 (Saloona/ Stews)	311.85
		A10 (Saloona/ Stews)	340.20
		A11 (Saloona/ Stews)	170.10
		A12 (Saloona/ Stews)	170.10
		A13 (Saloona/ Stews)	70.88
		A14 (Saloona/ Stews)	340.20
		A15 (Saloona/ Stews)	508.03
		A16 (Saloona/ Stews)	453.60
9.7	Stuffed vegetable dishes (kossa, warak, 3inad, malfoof)	1 piece Zucchini/ Eggplants/ Side A Zucchini/ Eggplants,	
		Zucchini/ Eggplants, cooked, 1 medium stuffed	69.00
		A1 (stuffed vegetables)	3.45
		A2 (stuffed vegetables)	10.35
		A3 (stuffed vegetables)	12.35
		A4 (stuffed vegetables)	62.09
		A5 (stuffed vegetables)	72.43
		A6 (stuffed vegetables)	186.26
		A7 (stuffed vegetables)	31.04
		A8 (stuffed vegetables)	227.65
		A9 (stuffed vegetables)	248.35
		A10 (stuffed vegetables)	124.17
		A11 (stuffed vegetables)	124.17
		A12 (stuffed vegetables)	51.74
		A13 (stuffed vegetables)	248.35
		A14 (stuffed vegetables)	370.86
		A15 (stuffed vegetables)	331.13
10.1	Khanfaroosh	1 piece	
		1 Piece (khanfaroosh)	30.00
10.2	Luqaimat	1 piece	
		 1 Piece (Luqaimat)	20.00
10.3	Muhallabiya/Rice pudding/Custard/Cream caramel   	Side A/ 1 medium container	
		1 Medium container	180.00
		A1 ( Muhallabiya,Rice pudding,..)	4.91
		A2 ( Muhallabiya,Rice pudding,..)	10.58
		A3 ( Muhallabiya,Rice pudding,..)	15.78
		A4 ( Muhallabiya,Rice pudding,..)	88.45
		A5 ( Muhallabiya,Rice pudding,..)	103.19
		A6 ( Muhallabiya,Rice pudding,..)	265.36
		A7 ( Muhallabiya,Rice pudding,..)	44.23
		A8 ( Muhallabiya,Rice pudding,..)	324.32
		A9 ( Muhallabiya,Rice pudding,..)	353.81
		A10 ( Muhallabiya,Rice pudding,..)	176.90
		A11 ( Muhallabiya,Rice pudding,..)	176.90
		A12 ( Muhallabiya,Rice pudding,..)	73.71
		A13 ( Muhallabiya,Rice pudding,..)	353.81
		A14 ( Muhallabiya,Rice pudding,..)	528.35
		A15 ( Muhallabiya,Rice pudding,..)	471.74
		A16 ( Muhallabiya,Rice pudding,..)	-1.0
10.4	Sago	Side A (Sago/ Aseeda/Khabees, density= 0.9)	
		A1 (Sago/Aseeda/Khabees)	4.25
		A2 (Sago/Aseeda/Khabees)	9.16
		A3 (Sago/Aseeda/Khabees)	13.66
		A4 (Sago/Aseeda/Khabees)	76.55
		A5 (Sago/Aseeda/Khabees)	89.30
		A6 (Sago/Aseeda/Khabees)	229.64
		A7 (Sago/Aseeda/Khabees)	38.27
		A8 (Sago/Aseeda/Khabees)	280.67
		A9 (Sago/Aseeda/Khabees)	306.18
		A10 (Sago/Aseeda/Khabees)	153.09
		A11 (Sago/Aseeda/Khabees)	153.09
		A12  (Sago/Aseeda/Khabees)	63.79
		A13 (Sago/Aseeda/Khabees)	306.18
		A14 (Sago/Aseeda/Khabees)	457.23
		A15 (Sago/Aseeda/Khabees)	408.24
		A16 (Sago/Aseeda/Khabees)	153.09
10.5	Aseeda	Side A (Sago/ Aseeda/Khabees, density= 0.9)	
		A1 (Sago/Aseeda/Khabees)	4.25
		A2 (Sago/Aseeda/Khabees)	9.16
		A3 (Sago/Aseeda/Khabees)	13.66
		A4 (Sago/Aseeda/Khabees)	76.55
		A5 (Sago/Aseeda/Khabees)	89.30
		A6 (Sago/Aseeda/Khabees)	229.64
		A7 (Sago/Aseeda/Khabees)	38.27
		A8 (Sago/Aseeda/Khabees)	280.67
		A9 (Sago/Aseeda/Khabees)	306.18
		A10 (Sago/Aseeda/Khabees)	153.09
		A11 (Sago/Aseeda/Khabees)	153.09
		A12  (Sago/Aseeda/Khabees)	63.79
		A13 (Sago/Aseeda/Khabees)	306.18
		A14 (Sago/Aseeda/Khabees)	457.23
		A15 (Sago/Aseeda/Khabees)	408.24
		A16 (Sago/Aseeda/Khabees)	153.09
10.6	khabees.	Side A	
		A1 (Sago/Aseeda/Khabees)	4.25
		A2 (Sago/Aseeda/Khabees)	9.16
		A3 (Sago/Aseeda/Khabees)	13.66
		A4 (Sago/Aseeda/Khabees)	76.55
		A5 (Sago/Aseeda/Khabees)	89.30
		A6 (Sago/Aseeda/Khabees)	229.64
		A7 (Sago/Aseeda/Khabees)	38.27
		A8 (Sago/Aseeda/Khabees)	280.67
		A9 (Sago/Aseeda/Khabees)	306.18
		A10 (Sago/Aseeda/Khabees)	153.09
		A11 (Sago/Aseeda/Khabees)	153.09
		A12  (Sago/Aseeda/Khabees)	63.79
		A13 (Sago/Aseeda/Khabees)	306.18
		A14 (Sago/Aseeda/Khabees)	457.23
		A15 (Sago/Aseeda/Khabees)	408.24
		A16 (Sago/Aseeda/Khabees)	153.09
10.7	Other Arabic sweets (kunefe/baklawa…	Side B (Arabic Sweet)	
		B1  (Arabic Sweet)	58.90
		B2  (Arabic Sweet)	132.54
		B3  (Arabic Sweet)	170.24
		B4  (Arabic Sweet)	259.77
		B5  (Arabic Sweet)	265.46
11.1	Cakes and pastries (Homemade)	Side B (Cakes and pastries)	
		B1,6 (Sponge cake, Plain cake, Homemade) 	19.63
		B2,6 (Sponge cake, Plain cake, Homemade) 	44.18
		B3,6 (Sponge cake, Plain cake) 	56.75
		B4,6 (Sponge cake, Plain cake) 	86.59
		B5,6 (Sponge cake, Plain cake) 	132.73
		B1,10 (cheese cakes, Cookies, Brownies) 	44.18
		B2,10 (cheese cakes, Cookies, Brownies) 	99.40
		B3,10 (cheese cakes, Cookies, Brownies) 	127.68
		B4,10 (cheese cakes, Cookies, Brownies) 	194.83
		B5,10 (cheese cakes, Cookies, Brownies) 	298.65
11.1.1	Cakes and pastries (Industrial)	Side B	
		B1,6 (Sponge cake, Plain cake) 	19.63
		B2,6 (Sponge cake, Plain cake) 	44.18
		B3,6 (Sponge cake, Plain cake) 	56.75
		B4,6 (Sponge cake, Plain cake) 	86.59
		B5,6 (Sponge cake, Plain cake) 	132.73
		B1,10 (cheese cakes, Cookies, Brownies) 	44.18
		B2,10 (cheese cakes, Cookies, Brownies) 	99.40
		B3,10 (cheese cakes, Cookies, Brownies) 	127.68
		B4,10 (cheese cakes, Cookies, Brownies) 	194.83
		B5,10 (cheese cakes, Cookies, Brownies) 	298.65
11.2	Croissant (Homemade)	1 Large/1 small	
		1 Large croissant	70.00
		1 Small croissant	30.00
11.2.1	Croissant (industrial)	1 Large/1 small	
		1 Large croissant	70.00
		1 Small croissant	30.00
11.3	Chocolate 	1 medium bar/ Side B	
		 B1 (Chocolate)	25.53
		 B2 (Chocolate)	57.43
		 B3 (Chocolate)	73.77
		 B4 (Chocolate)	112.57
		 B5 (Chocolate)	172.55
11.4.1	Ice cream ( stick)	1 stick	
		1 stick Ice cream	80.00
11.4.2	Ice cream ( scope)	1 scoop	
		1 scoop Ice cream	120.00
11.5	Doughnuts 	1 medium	
		1 medium doughnut	85.00
11.6	Energy bars	1 medium bar/ Side B	
		1 medium energy bar	45.00
12.1	Water 	Side A/ 1 Liter	
		1 liter of water	1000.00
		A6 (water)	270.00
12.2	Fruit Juices, bottled	Side A/ 1 regular(240mL)	
		1 regular fruit juice bottle	240.00
		A4 (Beverages)	85.05
		A5 (Beverages)	99.23
		A6 (Beverages)	255.15
		A7 (Beverages)	42.53
		A8 (Beverages)	311.85
		A9(Beverages)	340.20
		A10(Beverages)	170.10
12.3	Karak 	Side A	
		A4 (Beverages)	85.05
		A5 (Beverages)	99.23
		A6 (Beverages)	255.15
		A7 (Beverages)	42.53
		A8 (Beverages)	311.85
		A9(Beverages)	340.20
		A10(Beverages)	170.10
12.4	Tea/ Herbal tea	Side A	
		A4 (Beverages)	85.05
		A5 (Beverages)	99.23
		A6 (Beverages)	255.15
		A7 (Beverages)	42.53
		A8 (Beverages)	311.85
		A9(Beverages)	340.20
		A10(Beverages)	170.10
12.5	Coffee/ Turkish coffee	Side A	
		A4 (Beverages)	85.05
		A5 (Beverages)	99.23
		A6 (Beverages)	255.15
		A7 (Beverages)	42.53
		A8 (Beverages)	311.85
		A9(Beverages)	340.20
		A10(Beverages)	170.10
12.6	Evaporated milk/ coffee creamer  	Side A	
		A4 (Beverages)	85.05
		A5 (Beverages)	99.23
		A6 (Beverages)	255.15
		A7 (Beverages)	42.53
		A8 (Beverages)	311.85
		A9(Beverages)	340.20
		A10(Beverages)	170.10
12.7	Arabic coffee	Side A	
		A4 (Beverages)	85.05
		A5 (Beverages)	99.23
		A6 (Beverages)	255.15
		A7 (Beverages)	42.53
		A8 (Beverages)	311.85
		A9(Beverages)	340.20
		A10(Beverages)	170.10
12.8	Soda Regular	Side A/ 1 can (330 mL)	
		A4 (Beverages)	85.05
		A5 (Beverages)	99.23
		A6 (Beverages)	255.15
		A7 (Beverages)	42.53
		A8 (Beverages)	311.85
		A9(Beverages)	340.20
		A10(Beverages)	170.10
12.9	Soda Diet	Side A/ 1 can (330 mL)	
		A4 (Beverages)	85.05
		A5 (Beverages)	99.23
		A6 (Beverages)	255.15
		A7 (Beverages)	42.53
		A8 (Beverages)	311.85
		A9(Beverages)	340.20
		A10(Beverages)	170.10
12.10	Energy drink	Side A/ 1 can (330 mL)	
		A4 (Beverages)	85.05
		A5 (Beverages)	99.23
		A6 (Beverages)	255.15
		A7 (Beverages)	42.53
		A8 (Beverages)	311.85
		A9(Beverages)	340.20
		A10(Beverages)	170.10
12.11	Diet energy drinks	Side A/ 1 can (330 mL)	
		A4 (Beverages)	85.05
		A5 (Beverages)	99.23
		A6 (Beverages)	255.15
		A7 (Beverages)	42.53
		A8 (Beverages)	311.85
		A9(Beverages)	340.20
		A10(Beverages)	170.10
13.1	Jam	Side A	
		A1 (Jam,Honey, syprups)	6.62
		A2 (Jam,Honey, syprups)	14.25
		A3 (Jam,Honey, syprups)	21.25
13.2	Honey, molasses, maple syrup 	Side A	
		A1 (Jam,Honey, syprups)	6.62
		A2 (Jam,Honey, syprups)	14.25
		A3 (Jam,Honey, syprups)	21.25
13.4	Halwa, rahash	Side A	
		A1 (Halawah, Rahash)	5.20
		A2 (Halawah, Rahash)	11.19
		A3 (Halawah, Rahash)	16.69
13.5	Sugar (added to drinks mainly) 	Side A	
		A1 (Sugar)	4.02
		A2 (Sugar)	8.65
		A3 (Sugar)	12.90
15.1	Butter/ghee (including added to rice/traditional dishes- not during cooking )	Side A	
		A1 (Butter/ ghee/ oils/ Sauces)	4.35
		A2 (Butter/ ghee/ oils/ Sauces)	9.36
		A3 (Butter/ ghee/ oils/ Sauces)	13.96
15.2	Mayonnaise, ranch dressing, 1000 thousand islands	Side A	
		A1 (Butter/ ghee/ oils/ Sauces)	4.35
		A2 (Butter/ ghee/ oils/ Sauces)	9.36
		A3 (Butter/ ghee/ oils/ Sauces)	13.96
15.3	Olive oil	Side A	
		A1 (Butter/ ghee/ oils/ Sauces)	4.35
		A2 (Butter/ ghee/ oils/ Sauces)	9.36
		A3 (Butter/ ghee/ oils/ Sauces)	13.96
15.4	Tahini	Side A	
		A1 (Butter/ ghee/ oils/ Sauces)	4.35
		A2 (Butter/ ghee/ oils/ Sauces)	9.36
		A3 (Butter/ ghee/ oils/ Sauces)	13.96
15.5	Vegetable oil (Sunflower oil, corn oil, canola oil) 	Side A	
		A1 (Butter/ ghee/ oils/ Sauces)	4.35
		A2 (Butter/ ghee/ oils/ Sauces)	9.36
		A3 (Butter/ ghee/ oils/ Sauces)	13.96
15.6	Olives	1 medium olive	
		1 Medium olive	3.00
16.1	Butter/animal ghee	Side A	
		A1 (Butter/ ghee/ oils/ Sauces)	4.35
		A2 (Butter/ ghee/ oils/ Sauces)	9.36
		A3 (Butter/ ghee/ oils/ Sauces)	13.96
16.2	Olive oil	Side A	
		A1 (Butter/ ghee/ oils/ Sauces)	4.35
		A2 (Butter/ ghee/ oils/ Sauces)	9.36
		A3 (Butter/ ghee/ oils/ Sauces)	13.96
16.3	Vegetable ghee	Side A	
		A1 (Butter/ ghee/ oils/ Sauces)	4.35
		A2 (Butter/ ghee/ oils/ Sauces)	9.36
		A3 (Butter/ ghee/ oils/ Sauces)	13.96
16.4	Vegetable oil (Sunflower oil, corn oil, canola oil)	Side A	
		A1 (Butter/ ghee/ oils/ Sauces)	4.35
		A2 (Butter/ ghee/ oils/ Sauces)	9.36
		A3 (Butter/ ghee/ oils/ Sauces)	13.96
16.5	Cooking cream (as part of dishes)	Side A	
		A1 (Butter/ ghee/ oils/ Sauces)	4.35
		A2 (Butter/ ghee/ oils/ Sauces)	9.36
		A3 (Butter/ ghee/ oils/ Sauces)	13.96
17.1	Ketchup, Mustard, BBQ sauce	Side A	
		A1 (Sauces)	4.35
		A2 (Sauces)	9.36
		A3 (Sauces)	13.96
17.2	Salt shaker use (at the table)	Number of shakes 	
		1 salt shake	1.00
17.3	Pickles 	1 M. cucumber/Side A	
		1 Medium cucumber	50.00
