Code	FOOD ITEM	REFERENCE PORTION	Portion in grams
2.1	Vegetables, canned (mixed)	Side A (Vegetables, canned, Density= 0.7)	
		A1 (Vegetables, canned)	3.31
		A2 (Vegetables, canned)	7.12
		A3 (Vegetables, canned)	9.11
		A4 (Vegetables, canned)	59.54
		A5 (Vegetables, canned)	69.46
		A6 (Vegetables, canned)	178.61
		A7 (Vegetables, canned)	29.77
		A8 (Vegetables, canned)	218.30
		A9 (Vegetables, canned)	238.14
		A10 (Vegetables, canned)	119.07
		A11 (Vegetables, canned)	119.07
		A12 (Vegetables, canned)	49.61
		A13 (Vegetables, canned)	238.14
		A14 (Vegetables, canned)	355.62
		A15 (Vegetables, canned)	317.52
		A16 (Vegetables, canned)	119.07
2.2	Vegetables, raw, cooked, frozen	Side A (Vegetables, raw, cooked, Density= 0.6)	
		A1 (Vegetables, raw, cooked, frozen)	2.84
		A2 (Vegetables, raw, cooked, frozen)	6.11
		A3 (Vegetables, raw, cooked, frozen)	9.11
		A4 (Vegetables, raw, cooked, frozen)	51.03
		A5 (Vegetables, raw, cooked, frozen)	59.54
		A6 (Vegetables, raw, cooked, frozen)	153.09
		A7 (Vegetables, raw, cooked, frozen)	25.52
		A8 (Vegetables, raw, cooked, frozen)	187.11
		A9 (Vegetables, raw, cooked, frozen)	204.12
		A10 (Vegetables, raw, cooked, frozen)	102.06
		A11 (Vegetables, raw, cooked, frozen)	102.06
		A12 (Vegetables, raw, cooked, frozen)	42.53
		A13 (Vegetables, raw, cooked, frozen)	204.12
		A14 (Vegetables, raw, cooked, frozen)	304.82
		A15 (Vegetables, raw, cooked, frozen)	272.16
		A16 (Vegetables, raw, cooked, frozen)	102.06
2.3	Salad, green 	Side A (Vegetables, green, density=.15)	
		A1 (Vegetables, green)	0.71
		A2 (Vegetables, green)	2.13
		A3 (Vegetables, green)	2.13
		A4 (Vegetables, green)	12.76
		A5 (Vegetables, green )	14.88
		A6 (Vegetables, green)	38.27
		A7 (Vegetables, green)	6.38
		A8 (Vegetables, green)	46.78
		A9 (Vegetables, green)	51.03
		A10 (Vegetables, green)	25.52
		A11 (Vegetables, green)	25.52
		A12 (Vegetables, green)	10.63
		A13 (Vegetables, green)	51.03
		A14 (Vegetables,green)	76.20
		A15 (Vegetables, green)	68.04
		A16 (Vegetables, green)	25.52
3.1	French Fries	Side A (French Fries, density= 0.3)	
		A1 (French Fries)	1.42
		A2 (French Fries)	3.05
		A3 (French Fries)	4.55
		A4 (French Fries)	25.52
		A5 (French Fries)	29.77
		A6 (French Fries)	76.55
		A7 (French Fries)	12.76
		A8 (French Fries)	93.56
		A9 (French Fries)	102.06
		A10 (French Fries)	51.03
		A11 (French Fries)	51.03
		A12 (French Fries)	21.26
		A13 (French Fries)	102.06
		A14 (French Fries)	152.41
		A15 (French Fries)	136.08
		A16 (French Fries)	51.03
3.2	Potato 	1 Medium Potato	
		1 Medium Potato 	286.00
3.3	Potato chips (bag chips)- all kind of chips 	Small bag / One ounce or 18 chips	
		Potato chips / Tortilla, Extra small/ 1cup	25.00
		Potato chips / Tortilla, Small	50.00
		Potato chips / Tortilla, Medium	90.00
		Potato chips / Tortilla, Large	150.00
		Potato chips / Tortilla, Extra Large	240.00
4.1	Fresh fruits or frozen	Side A/ 1 medium portion	
		1 Medium fruit, fresh/ frozen	150.00
		4 pieces medium strawberries	50.00
		10 pieces grapes	84.00
4.2	Dried fruits (dates, figs, apricot, prunes)	Side A	
		3 Pieces of Dates	30.00
		A1 (dried fruits)	4.73
		A2 (dried fruits)	10.18
		A3 (dried fruits)	15.18
		A4 (dried fruits)	85.05
		A5 (dried fruits)	99.23
		A6 (dried fruits)	255.15
		A7 (dried fruits)	42.53
		A8 (dried fruits)	311.85
		A9 (dried fruits)	340.20
		A10 (dried fruits)	170.10
		A11 (dried fruits)	170.10
		A12 (dried fruits)	70.88
		A13 (dried fruits)	340.20
		A14 (dried fruits)	508.03
		A15 (dried fruits)	453.60
		A16 (dried fruits)	170.10
		A17 (dried fruits)	113.40
		A18 (dried fruits)	178.04
4.3	Fresh fruit juice 	Side A (Fresh fruit juice)	
		A4 (Fresh fruit juice)	93.56
		A5 (Fresh fruit juice)	109.15
		A6 (Fresh fruit juice)	280.67
		A7 (Fresh fruit juice)	46.78
		A8 (Fresh fruit juice)	343.04
		A9 (Fresh fruit juice)	374.22
		A10 (Fresh fruit juice)	187.11
4.4	Fruit based dessert (cocktails)	Side A (Fruit based dessert/ cocktails)	
		A1 (Fruit based dessert/ cocktails)	5.20
		A2 (Fruit based dessert/ cocktails)	11.19
		A3 (Fruit based dessert/ cocktails)	16.69
		A4 (Fruit based dessert/ cocktails)	93.56
		A5  (Fruit based dessert/ cocktails)	109.15
		A6  (Fruit based dessert/ cocktails)	280.67
		A7  (Fruit based dessert/ cocktails)	46.78
		A8  (Fruit based dessert/ cocktails)	343.04
		A9  (Fruit based dessert/ cocktails)	374.22
		A10  (Fruit based dessert/ cocktails)	187.11
		A11 (Fruit based dessert/ cocktails)	187.11
		A15 (Fruit based dessert/ cocktails)	498.96
5.1	Full fat milk	Side A (Milk, Full fat, density= 1.02)	
		A1 (Milk, Full fat)	4.82
		A2 (Milk, Full fat)	10.38
		A3 (Milk, Full fat)	15.48
		A4 (Milk, Full fat)	86.75
		A5 (Milk, Full fat)	101.21
		A6 (Milk, Full fat)	260.25
		A7 (Milk, Full fat)	43.38
		A8 (Milk, Full fat)	318.09
		A9 (Milk, Full fat)	347.00
		A10 (Milk, Full fat)	173.50
		A11 (Milk, Full fat)	173.50
		A12 (Milk, Full fat)	72.29
		A13 (Milk, Full fat)	347.00
		A14 (Milk, Full fat)	518.19
		A15 (Milk, Full fat)	462.67
		A16 (Milk, Full fat)	173.50
5.2	Low fat milk	Side A (Milk,low fat, density= 1.02)	
		A1 (Milk, low fat)	4.82
		A2 (Milk, low fat)	10.38
		A3 (Milk, low fat)	15.48
		A4 (Milk, low fat)	86.75
		A5 (Milk, low fat)	101.21
		A6 (Milk, low fat)	260.25
		A7 (Milk, low fat)	43.38
		A8 (Milk, low fat)	318.09
		A9 (Milk, low fat)	347.00
		A10 (Milk, low fat)	173.50
		A11 (Milk, low fat)	173.50
		A12 (Milk, low fat)	72.29
		A13 (Milk, low fat)	347.00
		A14 (Milk, low fat)	518.19
		A15 (Milk, low fat)	462.67
		A16 (Milk, low fat)	173.50
5.3	Non-dairy alternative (soya, oat, almond milk)	Side A (non-dairy alternative, density=1.02)	
		A1 (non-dairy alternative)	4.82
		A2 (non-dairy alternative)	10.38
		A3 (non-dairy alternative)	15.48
